0　step, RMSE train (mean, high, low) : 0.03728344389278948, 0.04652121086391058, 0.04655895611894986
0　step, RMSE test (mean, high, low) : 0.049987415266792484, 0.050961838220234625, 0.0650091675260389
1　step, RMSE train (mean, high, low) : 0.06720830051119676, 0.073864876588176, 0.07166399483508219
1　step, RMSE test (mean, high, low) : 0.08598861840231442, 0.0945979762956179, 0.08684615611729145
2　step, RMSE train (mean, high, low) : 0.06650415125658889, 0.07368338054948967, 0.07082022213440661
2　step, RMSE test (mean, high, low) : 0.09051277797948049, 0.0927730811106439, 0.09424890819998046
3　step, RMSE train (mean, high, low) : 0.08944863081871601, 0.09512646694955582, 0.09508286929600256
3　step, RMSE test (mean, high, low) : 0.07377852209966013, 0.07409242609141929, 0.08219629142686173
4　step, RMSE train (mean, high, low) : 0.0873891387087057, 0.09195468953738578, 0.09130813620586839
4　step, RMSE test (mean, high, low) : 0.06865902455787302, 0.07171762631900981, 0.0740280094310446
5　step, RMSE train (mean, high, low) : 0.0902993640517309, 0.09525778516986731, 0.09461034524690368
5　step, RMSE test (mean, high, low) : 0.07142707397402367, 0.07906501559614636, 0.07243854014482362
6　step, RMSE train (mean, high, low) : 0.09020433565089697, 0.097345833796616, 0.09471952428051023
6　step, RMSE test (mean, high, low) : 0.050734625265944695, 0.05697675898960823, 0.05791273125728635
7　step, RMSE train (mean, high, low) : 0.09217960740501294, 0.09625773969758616, 0.09578255791507653
7　step, RMSE test (mean, high, low) : 0.04218418208495572, 0.04600648967221872, 0.051779302876256414
8　step, RMSE train (mean, high, low) : 0.08829939340376883, 0.09207245407868607, 0.09433821615317581
8　step, RMSE test (mean, high, low) : 0.043940439102675116, 0.05858474992657021, 0.04780067310285948
9　step, RMSE train (mean, high, low) : 0.1095821802852377, 0.11279050936314204, 0.1131086347750048
9　step, RMSE test (mean, high, low) : 0.07362016854656733, 0.07934391765767376, 0.07590590812818646
